249 4 3
500 30 10
15.0 25.0 30.0
 1	 -49500.00	 -48500.00	    6   23
 2	 -29500.00	 25000.00	   72    1
 3	     0.00	  7000.00	   93    1
 4	 -8500.00	 -33000.00	   28   12
 5	 -34500.00	 -9500.00	    5  123
 6	 15500.00	  6000.00	   43    1
 7	  2500.00	 -20500.00	    1  123
 8	 -6000.00	  5000.00	   36    1
 9	 -32000.00	 35000.00	   53    1
10	 -6000.00	 42500.00	   63    1
11	 -9000.00	 32000.00	   25    2
12	 -38500.00	 -8000.00	   50    1
13	 -26500.00	 44000.00	   57    1
14	 41500.00	 -12000.00	    1   23
15	 12000.00	 20500.00	   66    1
16	  8500.00	 10500.00	   37    1
17	 21000.00	 48000.00	   51    1
18	 -32500.00	     0.00	   47    1
19	 -23500.00	 -13000.00	   88    1
20	 42500.00	 18000.00	   75    1
21	 -17500.00	 -27000.00	   48    1
22	 27000.00	 -10500.00	   40    1
23	 32000.00	 -8500.00	    8  123
24	 27500.00	 44500.00	   69    1
25	  8500.00	 -12500.00	   93    1
26	 -30500.00	 33000.00	   29   12
27	 -30500.00	 13000.00	    5  123
28	  8500.00	 -36000.00	   53    1
29	 39500.00	 19000.00	    8  123
30	 -31000.00	 -1000.00	   24   12
31	 -45000.00	 -34000.00	   53    1
32	 26000.00	 33000.00	   13    2
33	 -27000.00	 -25000.00	   47    1
34	  4000.00	 -42000.00	   57    1
35	 18500.00	 -45000.00	    9  123
36	 -41500.00	 24500.00	   74    1
37	 17500.00	  -500.00	   83    1
38	  3500.00	 29500.00	   96    1
39	  6000.00	 24000.00	   42    1
40	 28500.00	 47500.00	   80    1
41	 46000.00	 14000.00	   22   12
42	 -1500.00	 48500.00	   56    1
43	 -3500.00	 26000.00	   43    1
44	 21000.00	 -7500.00	   12   12
45	 38500.00	 -21500.00	   73    1
46	 29500.00	 -24500.00	   32    1
47	 12500.00	 45500.00	    8   23
48	 34500.00	 -9500.00	   79    1
49	 -41000.00	 -7000.00	   79    1
50	 37000.00	 -35000.00	    4   23
51	 34500.00	 29500.00	   14   12
52	 14500.00	 16500.00	   17   12
53	 -48500.00	  4500.00	   19   12
54	 -29000.00	  4500.00	   44    1
55	 14000.00	 46500.00	    5   12
56	  3500.00	 36500.00	   37    1
57	 -14000.00	 36500.00	  100    1
58	 -38000.00	 27500.00	   62    1
59	 20500.00	 21000.00	   90    1
60	 46000.00	 20000.00	   57    1
61	 -42000.00	 -14500.00	   44    1
62	 -6000.00	 21000.00	   37    1
63	 25500.00	 -22500.00	   80    1
64	 -18500.00	 23000.00	   60    1
65	 -48500.00	 17500.00	   95    1
66	  7000.00	 44500.00	   56    1
67	 30000.00	 29000.00	   56    1
68	 -31500.00	 -37500.00	    9   23
69	 -9000.00	 17000.00	   39    1
70	 -23000.00	 -41000.00	   15   12
71	 -43000.00	 -39500.00	    4  123
72	 -21500.00	 -15000.00	   58    1
73	 -22000.00	  3500.00	   73    1
74	 -1500.00	 -10000.00	    5  123
75	 18000.00	 20500.00	   12   12
76	 -15000.00	 -47000.00	    3   23
77	 39500.00	 -31000.00	    8  123
78	 25500.00	 35000.00	   31    1
79	 -30500.00	 -13000.00	   48    1
80	  3000.00	 47000.00	    3  123
81	 -9500.00	 -31000.00	   52    1
82	 -10000.00	 25500.00	   99    1
83	 -40500.00	 18500.00	   29   12
84	  3500.00	 15500.00	   12   12
85	 26000.00	  6000.00	   50    1
86	 41500.00	 -45500.00	   98    1
87	 -3500.00	 -46000.00	    4  123
88	 41000.00	 -37000.00	   56    1
89	 -35000.00	 42500.00	   24   12
90	 -41500.00	 -15000.00	   33    1
91	 35500.00	 -30500.00	   45    1
92	 42500.00	  5500.00	   98    1
93	 33000.00	 -24000.00	    4   12
94	 39000.00	 -43500.00	   36    1
95	  4500.00	 -39500.00	   72    1
96	 -18000.00	  2000.00	   26   12
97	 33000.00	 19500.00	   71    1
98	 46000.00	 -8500.00	   84    1
99	 -23000.00	 -39500.00	   21   12
100	 -15000.00	 -31500.00	   99    1
101	 -21000.00	 31500.00	   33    1
102	 10000.00	 21000.00	   84    1
103	  7500.00	 49000.00	   74    1
104	   500.00	 -8500.00	   93    1
105	 32000.00	 10000.00	   25   12
106	 -48000.00	 42500.00	   39    1
107	 46500.00	 -14500.00	   42    1
108	 -20000.00	 -42000.00	   77    1
109	 43000.00	 17500.00	   68    1
110	 45500.00	 18000.00	   50    1
111	 31000.00	 -4000.00	   42    1
112	 -12000.00	  2000.00	   71    1
113	  5500.00	 48000.00	   85    1
114	 -26500.00	 31000.00	   78    1
115	 -14000.00	 -35500.00	   64    1
116	  3500.00	 -2000.00	    5  123
117	 47500.00	 -4500.00	   93    1
118	 -1500.00	  8500.00	   18   12
119	 26500.00	 -45000.00	   38    1
120	 29000.00	 -9500.00	   29   12
121	 -41500.00	 42000.00	   81    1
122	  -500.00	 24500.00	    4  123
123	 -2000.00	  8500.00	   23   12
124	 -41000.00	 -1500.00	   11    2
125	 -21500.00	 23500.00	   86    1
126	  3000.00	 -3000.00	    2  123
127	 35000.00	 49500.00	   31    1
128	 34000.00	 -14500.00	   54    1
129	 -47000.00	 -15000.00	   87    1
130	 -47000.00	 -10000.00	   17   12
131	 -10500.00	 38500.00	   81    1
132	 32000.00	 18500.00	   72    1
133	 -35000.00	 -9500.00	   10  123
134	 44000.00	 32500.00	   50    1
135	  1000.00	 14500.00	   25   12
136	 16500.00	 28500.00	   71    1
137	 -35000.00	  3000.00	   85    1
138	 -19000.00	 -28000.00	   51    1
139	 -40000.00	 -47500.00	   29   12
140	 -2500.00	 -19500.00	   55    1
141	  4000.00	 -11000.00	   45    1
142	 -30500.00	 -38000.00	  100    1
143	 38000.00	 -11000.00	   38    1
144	 24500.00	 -35500.00	   11   12
145	 -15000.00	 -34000.00	   82    1
146	   500.00	 17000.00	   50    1
147	 38500.00	 39500.00	   39    1
148	 -29000.00	 32000.00	    6  123
149	 41000.00	 -48500.00	   87    1
150	 -40000.00	 27500.00	   83    1
151	 40500.00	 -43000.00	   22   12
152	 19500.00	 -24500.00	   24   12
153	 -33500.00	 36000.00	   69    1
154	 -12500.00	 -44500.00	   97    1
155	 -22000.00	 -47500.00	   65    1
156	 16000.00	 -34000.00	   97    1
157	 -8500.00	 24500.00	   79    1
158	 46500.00	 24500.00	   79    1
159	 49500.00	 40500.00	   46    1
160	  5000.00	 -24500.00	   52    1
161	 31500.00	 -20500.00	   39    1
162	 19000.00	 19500.00	   94    1
163	 -14000.00	 19500.00	   97    1
164	 -1000.00	 -23500.00	   18   12
165	 19000.00	  4000.00	    3  123
166	 -21000.00	 -3000.00	   23   12
167	 -33500.00	 44000.00	   19   12
168	  9500.00	 46500.00	   40    1
169	 20000.00	 13500.00	   49    1
170	 -30500.00	 28000.00	   96    1
171	 21500.00	 16500.00	   58    1
172	 -9000.00	 -19500.00	   15   12
173	 -34500.00	  9500.00	   21   12
174	 37500.00	 -9000.00	   56    1
175	 15500.00	 42500.00	   67    1
176	 12500.00	 29000.00	   10  123
177	 -8000.00	 18000.00	   36    1
178	 45500.00	  7500.00	   84    1
179	 30000.00	 -19500.00	   59    1
180	 24500.00	 -23500.00	   85    1
181	 21000.00	 16500.00	   60    1
182	  8000.00	 -40500.00	   33    1
183	 -39000.00	 26500.00	   62    1
184	 26500.00	 -40000.00	   70    1
185	 -23000.00	 -13000.00	   79    1
186	 -12500.00	 -27000.00	   98    1
187	 34500.00	 -23000.00	   99    1
188	     0.00	 -39000.00	   18   12
189	 -42000.00	 37000.00	   55    1
